country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,South Carolina,,,US-SC,,2020-02-15,7,3,39,5,0,-1
US,United States,South Carolina,,,US-SC,,2020-02-16,3,-1,-9,11,-1,0
US,United States,South Carolina,,,US-SC,,2020-02-17,6,2,37,8,-15,3
US,United States,South Carolina,,,US-SC,,2020-02-18,-1,-1,-11,2,1,2
US,United States,South Carolina,,,US-SC,,2020-02-19,1,0,-13,1,0,1
US,United States,South Carolina,,,US-SC,,2020-02-20,-7,-5,-29,-1,-1,4
US,United States,South Carolina,,,US-SC,,2020-02-21,2,-2,-7,5,-2,1
US,United States,South Carolina,,,US-SC,,2020-02-22,5,1,27,7,3,-1
US,United States,South Carolina,,,US-SC,,2020-02-23,5,1,17,12,3,-1
US,United States,South Carolina,,,US-SC,,2020-02-24,-1,-2,-8,-1,3,1
US,United States,South Carolina,,,US-SC,,2020-02-25,6,1,-1,3,2,1
US,United States,South Carolina,,,US-SC,,2020-02-26,10,2,-7,8,2,-1
US,United States,South Carolina,,,US-SC,,2020-02-27,13,5,9,13,2,-1
US,United States,South Carolina,,,US-SC,,2020-02-28,12,5,11,15,1,-2
US,United States,South Carolina,,,US-SC,,2020-02-29,15,8,39,15,3,-3
US,United States,South Carolina,,,US-SC,,2020-03-01,16,8,25,25,3,-2
US,United States,South Carolina,,,US-SC,,2020-03-02,10,6,20,8,4,-1
US,United States,South Carolina,,,US-SC,,2020-03-03,10,8,3,4,2,0
US,United States,South Carolina,,,US-SC,,2020-03-04,7,3,-11,5,1,1
US,United States,South Carolina,,,US-SC,,2020-03-05,2,-2,-25,2,-1,3
US,United States,South Carolina,,,US-SC,,2020-03-06,9,5,21,12,2,-2
US,United States,South Carolina,,,US-SC,,2020-03-07,11,7,53,18,3,-2
US,United States,South Carolina,,,US-SC,,2020-03-08,12,7,38,24,2,-1
US,United States,South Carolina,,,US-SC,,2020-03-09,9,8,53,7,2,-1
US,United States,South Carolina,,,US-SC,,2020-03-10,9,9,34,8,1,0
