country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Hawaii,,,US-HI,,2020-02-15,2,2,19,4,-1,0
US,United States,Hawaii,,,US-HI,,2020-02-16,4,3,15,4,-1,-1
US,United States,Hawaii,,,US-HI,,2020-02-17,5,-4,14,-2,-47,11
US,United States,Hawaii,,,US-HI,,2020-02-18,0,-2,1,6,-1,1
US,United States,Hawaii,,,US-HI,,2020-02-19,-1,-2,1,2,0,1
US,United States,Hawaii,,,US-HI,,2020-02-20,2,1,6,2,0,0
US,United States,Hawaii,,,US-HI,,2020-02-21,1,-1,7,2,2,0
US,United States,Hawaii,,,US-HI,,2020-02-22,3,1,20,0,1,-1
US,United States,Hawaii,,,US-HI,,2020-02-23,2,0,16,2,1,0
US,United States,Hawaii,,,US-HI,,2020-02-24,1,-1,6,4,2,0
US,United States,Hawaii,,,US-HI,,2020-02-25,1,0,5,1,0,1
US,United States,Hawaii,,,US-HI,,2020-02-26,2,2,9,-1,1,0
US,United States,Hawaii,,,US-HI,,2020-02-27,3,4,3,-1,0,0
US,United States,Hawaii,,,US-HI,,2020-02-28,2,2,-1,-1,2,-1
US,United States,Hawaii,,,US-HI,,2020-02-29,1,1,0,-1,1,0
US,United States,Hawaii,,,US-HI,,2020-03-01,2,2,-7,0,1,1
US,United States,Hawaii,,,US-HI,,2020-03-02,0,1,-7,-2,2,0
US,United States,Hawaii,,,US-HI,,2020-03-03,1,5,0,-3,1,0
US,United States,Hawaii,,,US-HI,,2020-03-04,-1,1,7,-6,1,0
US,United States,Hawaii,,,US-HI,,2020-03-05,1,6,-1,-4,1,0
US,United States,Hawaii,,,US-HI,,2020-03-06,-1,1,-8,-3,2,0
US,United States,Hawaii,,,US-HI,,2020-03-07,0,4,4,-4,1,0
US,United States,Hawaii,,,US-HI,,2020-03-08,0,2,3,-2,1,1
US,United States,Hawaii,,,US-HI,,2020-03-09,-2,1,-6,-3,1,1
US,United States,Hawaii,,,US-HI,,2020-03-10,-2,0,1,-4,0,1
US,United States,Hawaii,,,US-HI,,2020-03-11,-2,1,4,-6,0,1
US,United States,Hawaii,,,US-HI,,2020-03-12,-2,5,-12,-9,-1,2
US,United States,Hawaii,,,US-HI,,2020-03-13,-4,9,-8,-8,-1,2
US,United States,Hawaii,,,US-HI,,2020-03-14,-6,6,2,-9,-4,2
US,United States,Hawaii,,,US-HI,,2020-03-15,-8,5,-7,-11,-5,3
US,United States,Hawaii,,,US-HI,,2020-03-16,-10,7,-34,-15,-17,7
US,United States,Hawaii,,,US-HI,,2020-03-17,-18,1,-43,-22,-23,12
US,United States,Hawaii,,,US-HI,,2020-03-18,-20,0,-23,-27,-25,12
US,United States,Hawaii,,,US-HI,,2020-03-19,-23,-2,-31,-31,-28,14
US,United States,Hawaii,,,US-HI,,2020-03-20,-31,-5,-29,-34,-31,16
US,United States,Hawaii,,,US-HI,,2020-03-21,-40,-14,-38,-40,-27,12
US,United States,Hawaii,,,US-HI,,2020-03-22,-42,-16,-43,-43,-30,11
US,United States,Hawaii,,,US-HI,,2020-03-23,-38,-15,-59,-44,-35,16
US,United States,Hawaii,,,US-HI,,2020-03-24,-45,-22,-62,-50,-42,20
US,United States,Hawaii,,,US-HI,,2020-03-25,-50,-30,-65,-56,-46,22
US,United States,Hawaii,,,US-HI,,2020-03-26,-51,-32,-69,-66,-53,25
US,United States,Hawaii,,,US-HI,,2020-03-27,-52,-32,-69,-66,-46,25
US,United States,Hawaii,,,US-HI,,2020-03-28,-56,-36,-65,-70,-43,18
